STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/11/17,14.99,,,0,0,0,82,93,73,190,180,23.9,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/12/17,11.63,,,0,0,0,85,95,73,350,350,25.9,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/13/17,6.93,,,0,0,0,80,88,68,20,20,19.9,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/14/17,9.84,,,0.59,0,0,77,92,68,300,300,25.1,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/15/17,7.83,,,0.07,0,0,76,91,68,310,280,30,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/16/17,10.29,,,0.22,0,0,77,86,67,190,200,31.1,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/17/17,8.5,,,0.42,0,0,78,87,69,280,280,19.9,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/18/17,13.65,,,0,0,0,74,79,69,260,270,28,35.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/19/17,10.07,,,0.03,0,0,70,80,62,350,340,29.1,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/20/17,9.62,,,0,0,0,67,80,58,50,50,28,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/21/17,7.16,,,0,0,0,68,80,55,120,120,19.9,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/22/17,14.54,,,0,0,0,78,88,68,200,210,25.1,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/23/17,12.3,,,0.71,0,0,77,83,66,340,340,25.1,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/24/17,12.3,,,0.02,0,0,70,75,59,280,280,28,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/25/17,12.75,,,0,0,0,64,72,54,280,260,21.9,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/26/17,12.3,,,0,0,0,64,75,54,290,270,25.1,34
